Date,Open,High,Low,Close,Volume,Adj Close
2015-09-30,2.44,2.64,1.94,2.64,8200,2.64
2015-09-29,2.85,2.85,2.55,2.55,2000,2.55
2015-09-28,2.95,2.95,2.64,2.78,7000,2.78
2015-09-25,2.74,2.99,2.73,2.90,6200,2.90
2015-09-24,3.00,3.00,2.82,2.88,1700,2.88
2015-09-23,2.98,2.98,2.79,2.98,1600,2.98
2015-09-22,3.00,3.00,2.70,2.94,3100,2.94
2015-09-21,3.02,3.05,2.95,3.00,7300,3.00
2015-09-18,3.00,3.15,2.89,2.92,137500,2.92
2015-09-17,3.05,3.23,2.98,2.98,12700,2.98
2015-09-16,3.15,3.25,3.05,3.25,29100,3.25
2015-09-15,3.17,3.20,3.05,3.09,9600,3.09
2015-09-14,3.07,3.19,3.04,3.18,14500,3.18
2015-09-11,2.98,3.10,2.95,3.10,19600,3.10
2015-09-10,2.82,3.00,2.71,3.00,25700,3.00
2015-09-09,2.68,2.91,2.57,2.83,24200,2.83
2015-09-08,2.55,2.69,2.48,2.62,19800,2.62
2015-09-04,2.55,2.56,2.54,2.56,2100,2.56
2015-09-03,2.35,2.57,2.35,2.55,5900,2.55
2015-09-02,2.56,2.56,2.41,2.41,5200,2.41
2015-09-01,2.49,2.54,2.49,2.54,5800,2.54
2015-08-31,2.45,2.54,2.45,2.50,13200,2.50
2015-08-28,2.57,2.57,2.38,2.51,500,2.51
2015-08-27,2.45,2.57,2.45,2.57,400,2.57
2015-08-26,2.54,2.54,2.37,2.51,4600,2.51
2015-08-25,2.55,2.55,2.37,2.37,200,2.37
2015-08-24,2.45,2.45,2.45,2.45,000,2.45
2015-08-21,2.43,2.45,2.43,2.45,300,2.45
2015-08-20,2.51,2.51,2.51,2.51,100,2.51
2015-08-19,2.48,2.59,2.48,2.55,700,2.55
2015-08-18,2.67,2.68,2.50,2.56,8200,2.56
2015-08-17,2.54,2.68,2.54,2.60,3800,2.60
2015-08-14,2.51,2.51,2.51,2.51,500,2.51
2015-08-13,2.35,2.49,2.35,2.49,8000,2.49
2015-08-12,2.40,2.40,2.35,2.35,4500,2.35
2015-08-11,2.37,2.40,2.35,2.40,4300,2.40
2015-08-10,2.35,2.40,2.35,2.40,2300,2.40
2015-08-07,2.49,2.49,2.36,2.36,400,2.36
2015-08-06,2.44,2.44,2.44,2.44,000,2.44
2015-08-05,2.54,2.54,2.43,2.44,5000,2.44
2015-08-04,2.60,2.60,2.60,2.60,6000,2.60
2015-08-03,2.60,2.60,2.60,2.60,200,2.60
2015-07-31,2.61,2.64,2.61,2.63,600,2.63
2015-07-30,2.56,2.60,2.55,2.60,1000,2.60
2015-07-29,2.73,2.73,2.73,2.73,1800,2.73
2015-07-28,2.81,2.81,2.66,2.66,2100,2.66
2015-07-27,2.45,2.45,2.45,2.45,000,2.45
2015-07-24,2.46,2.46,2.45,2.45,300,2.45
2015-07-23,2.48,2.48,2.47,2.47,2800,2.47
2015-07-22,2.52,2.52,2.50,2.50,700,2.50
2015-07-21,2.50,2.50,2.47,2.48,1800,2.48
2015-07-20,2.52,2.52,2.52,2.52,000,2.52
2015-07-17,2.52,2.52,2.52,2.52,100,2.52
2015-07-16,2.64,2.64,2.59,2.59,3500,2.59
2015-07-15,2.53,2.53,2.51,2.51,300,2.51
2015-07-14,2.60,2.69,2.60,2.60,2900,2.60
2015-07-13,2.63,2.63,2.63,2.63,000,2.63
2015-07-10,2.63,2.63,2.63,2.63,000,2.63
2015-07-09,2.63,2.63,2.63,2.63,100,2.63
2015-07-08,2.64,2.64,2.63,2.63,200,2.63
2015-07-07,2.63,2.64,2.62,2.64,1000,2.64
2015-07-06,2.66,2.66,2.66,2.66,000,2.66
2015-07-02,2.66,2.66,2.55,2.66,7900,2.66
2015-07-01,2.67,2.69,2.61,2.61,3600,2.61
2015-06-30,2.68,2.68,2.68,2.68,000,2.68
2015-06-29,2.68,2.68,2.68,2.68,000,2.68
2015-06-26,2.72,2.72,2.57,2.68,9700,2.68
2015-06-25,2.60,2.71,2.60,2.71,5000,2.71
2015-06-24,2.65,2.78,2.65,2.76,5900,2.76
2015-06-23,2.75,2.82,2.70,2.71,2400,2.71
2015-06-22,2.79,2.85,2.79,2.80,11100,2.80
2015-06-19,2.77,2.79,2.52,2.79,11000,2.79
2015-06-18,2.69,2.79,2.59,2.60,11300,2.60
2015-06-17,2.63,2.76,2.59,2.76,15600,2.76
2015-06-16,2.83,2.83,2.59,2.60,8900,2.60
2015-06-15,2.77,2.77,2.73,2.76,3000,2.76
2015-06-12,2.86,2.96,2.84,2.87,3900,2.87
2015-06-11,3.09,3.10,2.97,2.97,7400,2.97
2015-06-10,2.91,3.04,2.91,3.03,3900,3.03
2015-06-09,2.92,2.92,2.84,2.84,1800,2.84
2015-06-08,3.06,3.25,2.93,2.95,8800,2.95
2015-06-05,2.83,2.83,2.83,2.83,100,2.83
2015-06-04,3.24,3.25,2.96,2.97,8700,2.97
2015-06-03,2.89,3.25,2.85,3.24,50100,3.24
2015-06-02,2.80,2.83,2.62,2.83,12000,2.83
2015-06-01,2.70,2.80,2.60,2.80,13300,2.80
2015-05-29,2.53,2.68,2.53,2.65,1000,2.65
2015-05-28,2.61,2.64,2.61,2.64,300,2.64
2015-05-27,2.68,2.69,2.56,2.60,2000,2.60
2015-05-26,2.67,2.68,2.59,2.61,17100,2.61
2015-05-22,2.79,2.79,2.79,2.79,200,2.79
2015-05-21,2.77,2.77,2.77,2.77,000,2.77
2015-05-20,2.71,2.77,2.71,2.77,2200,2.77
2015-05-19,2.89,2.90,2.85,2.90,1800,2.90
2015-05-18,2.74,2.93,2.69,2.76,38000,2.76
2015-05-15,2.86,2.86,2.75,2.75,7200,2.75
2015-05-14,2.75,2.90,2.75,2.83,25200,2.83
2015-05-13,2.79,2.80,2.75,2.75,23100,2.75
2015-05-12,2.70,2.80,2.70,2.75,7600,2.75
2015-05-11,2.72,2.79,2.68,2.76,19900,2.76
2015-05-08,2.75,2.79,2.65,2.72,18400,2.72
2015-05-07,2.57,2.90,2.57,2.66,12700,2.66
2015-05-06,2.46,2.46,2.46,2.46,000,2.46
2015-05-05,2.39,2.63,2.38,2.46,5900,2.46
2015-05-04,2.66,2.66,2.47,2.52,5500,2.52
2015-05-01,2.60,2.61,2.60,2.61,600,2.61
2015-04-30,2.55,2.60,2.55,2.60,4800,2.60
2015-04-29,2.57,2.62,2.52,2.62,5800,2.62
2015-04-28,2.54,2.65,2.54,2.55,500,2.55
2015-04-27,2.61,2.68,2.61,2.64,11400,2.64
2015-04-24,2.65,2.69,2.57,2.61,7400,2.61
2015-04-23,2.70,2.70,2.52,2.53,5000,2.53
2015-04-22,2.58,2.65,2.56,2.65,13400,2.65
2015-04-21,2.64,2.64,2.64,2.64,000,2.64
2015-04-20,2.66,2.66,2.64,2.64,2300,2.64
2015-04-17,2.66,2.66,2.66,2.66,000,2.66
2015-04-16,2.69,2.69,2.66,2.66,300,2.66
2015-04-15,2.74,2.75,2.69,2.70,5600,2.70
2015-04-14,2.75,2.75,2.64,2.64,18700,2.64
2015-04-13,2.64,2.69,2.64,2.69,900,2.69
2015-04-10,2.75,2.75,2.64,2.65,5400,2.65
2015-04-09,2.80,2.90,2.72,2.72,20400,2.72
2015-04-08,2.70,2.76,2.68,2.74,18800,2.74
2015-04-07,3.39,3.40,2.75,2.75,155200,2.75
2015-04-06,2.52,2.75,2.52,2.75,6200,2.75
2015-04-02,2.67,2.89,2.67,2.75,38300,2.75
2015-04-01,2.60,2.60,2.60,2.60,000,2.60
2015-03-31,2.60,2.60,2.60,2.60,000,2.60
2015-03-30,2.60,2.60,2.60,2.60,000,2.60
2015-03-27,2.60,2.60,2.60,2.60,200,2.60
2015-03-26,2.86,2.90,2.85,2.90,29800,2.90
2015-03-25,2.90,2.90,2.86,2.86,13000,2.86
2015-03-24,2.89,2.94,2.85,2.94,2600,2.94
2015-03-23,2.86,3.00,2.85,2.99,16100,2.99
2015-03-20,2.92,3.00,2.80,2.85,5100,2.85
2015-03-19,2.81,2.91,2.81,2.91,800,2.91
2015-03-18,2.95,2.95,2.84,2.85,65100,2.85
2015-03-17,2.86,2.86,2.74,2.85,3000,2.85
2015-03-16,2.90,2.90,2.85,2.85,600,2.85
2015-03-13,3.12,3.12,2.89,2.92,1800,2.92
2015-03-12,2.86,2.95,2.86,2.94,2000,2.94
2015-03-11,2.82,3.02,2.82,2.85,800,2.85
2015-03-10,3.00,3.00,2.81,2.82,27700,2.82
2015-03-09,2.90,3.02,2.90,3.02,1200,3.02
2015-03-06,2.90,2.99,2.88,2.98,2400,2.98
2015-03-05,2.98,3.10,2.85,2.91,9900,2.91
2015-03-04,2.96,3.18,2.90,3.13,2800,3.13
2015-03-03,2.75,3.17,2.75,2.98,25500,2.98
2015-03-02,2.75,2.77,2.75,2.75,6700,2.75
2015-02-27,2.76,2.76,2.76,2.76,1100,2.76
2015-02-26,2.75,2.88,2.75,2.83,1400,2.83
2015-02-25,2.82,2.89,2.76,2.76,2700,2.76
2015-02-24,2.78,2.90,2.72,2.90,9300,2.90
2015-02-23,2.80,2.80,2.78,2.78,2100,2.78
2015-02-20,2.80,2.93,2.80,2.83,4800,2.83
2015-02-19,2.98,3.00,2.80,2.80,3700,2.80
2015-02-18,2.96,2.98,2.96,2.98,2700,2.98
2015-02-17,2.90,2.96,2.90,2.94,1100,2.94
2015-02-13,2.90,3.10,2.90,3.01,14900,3.01
2015-02-12,2.88,3.01,2.88,3.00,5100,3.00
2015-02-11,3.00,3.02,3.00,3.01,2900,3.01
2015-02-10,3.00,3.06,3.00,3.05,4500,3.05
2015-02-09,3.16,3.16,3.01,3.01,1400,3.01
2015-02-06,3.09,3.11,3.09,3.09,1800,3.09
2015-02-05,3.01,3.09,3.00,3.09,1700,3.09
2015-02-04,3.08,3.10,3.08,3.10,600,3.10
2015-02-03,2.99,3.05,2.99,3.05,7800,3.05
2015-02-02,2.98,2.98,2.94,2.94,600,2.94
2015-01-30,2.84,2.92,2.84,2.92,400,2.92
2015-01-29,2.86,2.96,2.86,2.90,4700,2.90
2015-01-28,2.94,2.94,2.80,2.80,5900,2.80
2015-01-27,2.93,2.93,2.80,2.92,4200,2.92
2015-01-26,2.95,3.00,2.90,2.92,11700,2.92
2015-01-23,2.96,2.96,2.95,2.95,200,2.95
2015-01-22,3.00,3.10,2.98,3.00,2500,3.00
2015-01-21,3.04,3.04,3.03,3.04,5400,3.04
2015-01-20,3.08,3.16,2.90,3.16,18700,3.16
2015-01-16,3.11,3.24,3.11,3.22,3500,3.22
2015-01-15,3.07,3.35,3.01,3.25,8100,3.25
2015-01-14,3.30,3.30,3.08,3.08,2500,3.08
2015-01-13,3.28,3.37,3.07,3.24,7100,3.24
2015-01-12,3.21,3.28,3.10,3.15,7500,3.15
2015-01-09,3.16,3.21,3.10,3.21,3100,3.21
2015-01-08,3.17,3.19,3.08,3.19,1500,3.19
2015-01-07,3.01,3.17,3.00,3.17,4700,3.17
2015-01-06,3.09,3.20,3.09,3.13,4100,3.13
2015-01-05,3.12,3.18,3.10,3.10,5800,3.10
2015-01-02,3.06,3.28,2.99,3.28,21000,3.28
2014-12-31,2.94,3.33,2.92,3.33,20100,3.33
2014-12-30,3.01,3.04,2.98,3.01,29900,3.01
2014-12-29,3.19,3.19,3.00,3.00,27300,3.00
2014-12-26,3.11,3.46,3.00,3.46,22500,3.46
2014-12-24,3.06,3.25,3.05,3.06,8300,3.06
2014-12-23,3.15,3.24,3.07,3.20,13000,3.20
2014-12-22,3.18,3.35,3.10,3.15,35100,3.15
2014-12-19,3.43,3.60,3.15,3.15,65400,3.15
2014-12-18,3.47,3.48,3.12,3.26,18700,3.26
2014-12-17,3.23,3.59,3.17,3.29,25500,3.29
2014-12-16,3.51,3.51,3.12,3.25,432100,3.25
2014-12-15,3.37,3.50,3.20,3.45,31100,3.45
2014-12-12,3.51,3.69,3.31,3.48,56500,3.48
2014-12-11,3.45,3.68,3.33,3.51,59100,3.51
2014-12-10,2.78,3.97,2.65,3.20,122900,3.20
2014-12-09,2.73,2.77,2.65,2.76,37500,2.76
2014-12-08,2.58,2.79,2.58,2.68,25500,2.68
2014-12-05,2.71,2.80,2.55,2.57,23400,2.57
2014-12-04,2.35,2.67,2.35,2.64,44900,2.64
2014-12-03,2.34,2.34,2.34,2.34,100,2.34
2014-12-02,2.28,2.35,2.28,2.31,8000,2.31
2014-12-01,2.32,2.32,2.28,2.28,55700,2.28
2014-11-28,2.37,2.37,2.37,2.37,2200,2.37
2014-11-26,2.40,2.40,2.29,2.29,200,2.29
2014-11-25,2.46,2.46,2.28,2.33,4400,2.33
2014-11-24,2.32,2.32,2.32,2.32,1000,2.32
2014-11-21,2.43,2.43,2.28,2.31,4200,2.31
2014-11-20,2.46,2.46,2.30,2.30,2000,2.30
2014-11-19,2.44,2.44,2.28,2.36,138400,2.36
2014-11-18,2.43,2.43,2.30,2.30,100500,2.30
2014-11-17,2.39,2.39,2.29,2.30,266200,2.30
2014-11-14,2.52,2.52,2.39,2.39,300,2.39
2014-11-13,2.41,2.47,2.38,2.47,1200,2.47
2014-11-12,2.50,2.50,2.45,2.48,5400,2.48
2014-11-11,2.49,2.54,2.42,2.46,3800,2.46
2014-11-10,2.50,2.50,2.44,2.45,3700,2.45
2014-11-07,2.40,2.45,2.36,2.37,7800,2.37
2014-11-06,2.47,2.47,2.40,2.40,6900,2.40
2014-11-05,2.41,2.43,2.28,2.32,7100,2.32
2014-11-04,2.35,2.42,2.32,2.41,4000,2.41
2014-11-03,2.45,2.45,2.32,2.32,2700,2.32
2014-10-31,2.59,2.59,2.19,2.44,12400,2.44
2014-10-30,2.24,2.35,2.20,2.26,6400,2.26
2014-10-29,2.50,2.50,2.19,2.22,21900,2.22
2014-10-28,2.51,2.62,2.27,2.35,20400,2.35
2014-10-27,2.10,2.62,2.08,2.38,71900,2.38
2014-10-24,2.08,2.08,2.02,2.02,2300,2.02
2014-10-23,2.21,2.21,2.05,2.18,4400,2.18
2014-10-22,2.22,2.22,2.13,2.20,4100,2.20
2014-10-21,2.22,2.35,2.20,2.35,4900,2.35
2014-10-20,2.24,2.24,2.15,2.15,4100,2.15
2014-10-17,2.30,2.30,2.18,2.23,15400,2.23
2014-10-16,2.17,2.28,1.98,2.25,38800,2.25
2014-10-15,2.25,2.25,2.10,2.13,27600,2.13
2014-10-14,2.08,2.32,1.90,2.32,97300,2.32
2014-10-13,2.70,3.15,2.05,2.15,590800,2.15
2014-10-10,2.75,2.76,2.63,2.63,28700,2.63
2014-10-09,2.72,2.76,2.72,2.76,32900,2.76
2014-10-08,2.90,2.90,2.72,2.72,96200,2.72
2014-10-07,2.89,2.90,2.85,2.87,2500,2.87
2014-10-06,3.02,3.02,2.73,2.73,28000,2.73
2014-10-03,3.15,3.39,2.98,3.01,54700,3.01
2014-10-02,3.51,3.51,3.15,3.22,18800,3.22
2014-10-01,3.45,3.51,3.26,3.38,31800,3.38
2014-09-30,3.48,3.48,3.15,3.28,11400,3.28
2014-09-29,3.28,3.50,3.07,3.44,18400,3.44
2014-09-26,3.11,3.11,2.98,2.98,3400,2.98
2014-09-25,3.05,3.10,3.05,3.06,3700,3.06
2014-09-24,3.40,3.40,3.40,3.40,100,3.40
2014-09-23,3.30,3.30,3.02,3.07,5000,3.07
2014-09-22,3.38,3.68,3.04,3.30,31900,3.30
2014-09-19,3.13,3.13,3.13,3.13,1000,3.13
2014-09-18,3.35,3.35,3.25,3.25,1000,3.25
2014-09-17,3.30,3.30,3.25,3.25,500,3.25
2014-09-16,3.34,3.45,3.08,3.28,12000,3.28
2014-09-15,3.21,3.45,3.19,3.19,2800,3.19
2014-09-12,3.10,3.34,3.10,3.15,11000,3.15
2014-09-11,2.92,2.92,2.92,2.92,500,2.92
2014-09-10,2.89,3.14,2.83,3.10,2800,3.10
2014-09-09,3.20,3.44,3.03,3.05,13000,3.05
2014-09-08,3.44,3.44,3.11,3.22,2800,3.22
2014-09-05,3.06,3.98,3.06,3.50,9800,3.50
2014-09-04,3.36,3.36,3.36,3.36,000,3.36
2014-09-03,3.36,3.36,3.36,3.36,000,3.36
2014-09-02,3.06,3.37,3.06,3.36,2000,3.36
2014-08-29,3.05,3.05,3.05,3.05,000,3.05
2014-08-28,2.93,3.05,2.93,3.05,3200,3.05
2014-08-27,3.02,3.02,3.02,3.02,000,3.02
2014-08-26,3.02,3.02,3.02,3.02,400,3.02
2014-08-25,3.05,3.11,3.00,3.00,5400,3.00
2014-08-22,3.15,3.15,3.15,3.15,3400,3.15
2014-08-21,3.15,3.15,3.15,3.15,1500,3.15
2014-08-20,3.12,3.15,3.12,3.15,2200,3.15
2014-08-19,3.12,3.15,2.94,3.05,4900,3.05
2014-08-18,3.10,3.25,3.06,3.25,1800,3.25
2014-08-15,3.20,3.20,3.20,3.20,000,3.20
2014-08-14,3.20,3.20,3.20,3.20,000,3.20
2014-08-13,3.24,3.24,3.18,3.20,2100,3.20
2014-08-12,3.18,3.33,3.18,3.20,1000,3.20
2014-08-11,3.35,3.35,3.22,3.22,700,3.22
2014-08-08,3.35,3.38,3.21,3.25,3500,3.25
2014-08-07,3.45,3.45,3.12,3.20,2800,3.20
2014-08-06,3.45,3.55,3.05,3.32,6600,3.32
2014-08-05,3.65,3.65,3.00,3.44,21000,3.44
2014-08-04,3.69,3.70,3.40,3.55,9000,3.55
2014-08-01,4.54,4.54,3.48,3.48,96400,3.48
2014-07-31,4.40,4.55,4.40,4.55,6900,4.55
2014-07-30,5.70,5.75,4.40,4.40,72000,4.40
2014-07-29,5.03,5.94,4.41,5.67,150200,5.67
2014-07-28,0.85,0.87,0.81,0.82,2000,4.10
2014-07-25,0.81,0.88,0.80,0.85,1400,4.25
2014-07-24,0.90,0.90,0.83,0.84,600,4.20
2014-07-23,0.83,0.87,0.80,0.87,6600,4.35
2014-07-22,0.88,0.88,0.78,0.84,9100,4.20
2014-07-21,0.85,0.88,0.76,0.86,11800,4.30
2014-07-18,0.82,0.89,0.75,0.79,3600,3.95
2014-07-17,0.79,0.92,0.79,0.82,1000,4.10
2014-07-16,0.80,0.94,0.80,0.92,1100,4.60
2014-07-15,0.85,0.92,0.75,0.92,13200,4.60
2014-07-14,0.90,0.90,0.89,0.90,200,4.50
2014-07-11,0.85,0.90,0.83,0.89,700,4.45
2014-07-10,0.90,0.90,0.85,0.89,900,4.45
2014-07-09,0.90,0.90,0.88,0.89,300,4.45
2014-07-08,0.96,0.96,0.89,0.89,1100,4.45
2014-07-07,0.97,0.98,0.88,0.89,1300,4.45
2014-07-03,0.96,0.99,0.92,0.98,2700,4.90
2014-07-02,0.90,0.90,0.90,0.90,300,4.50
2014-07-01,0.97,0.97,0.96,0.96,1100,4.80
2014-06-30,0.91,1.00,0.90,0.99,600,4.95
2014-06-27,0.96,0.96,0.89,0.89,3700,4.45
2014-06-26,0.94,0.95,0.87,0.90,1700,4.50
2014-06-25,0.86,0.93,0.86,0.93,800,4.65
2014-06-24,0.91,0.91,0.91,0.91,000,4.55
2014-06-23,1.00,1.00,0.91,0.91,600,4.55
2014-06-20,0.98,0.98,0.98,0.98,000,4.90
2014-06-19,0.90,0.98,0.86,0.98,4300,4.90
2014-06-18,1.00,1.00,0.86,0.89,7700,4.45
2014-06-17,0.97,0.99,0.96,0.97,1100,4.85
2014-06-16,0.94,0.98,0.83,0.91,1400,4.55
2014-06-13,0.90,0.92,0.90,0.92,300,4.60
2014-06-12,0.89,0.91,0.89,0.90,400,4.50
2014-06-11,0.82,0.82,0.77,0.77,2000,3.85
2014-06-10,0.95,0.95,0.86,0.86,800,4.30
2014-06-09,1.00,1.00,0.90,0.90,1500,4.50
2014-06-06,0.98,1.00,0.84,0.99,7200,4.95
2014-06-05,0.92,0.92,0.92,0.92,000,4.60
2014-06-04,0.90,1.00,0.90,0.92,1800,4.60
2014-06-03,0.96,0.96,0.96,0.96,000,4.80
2014-06-02,1.00,1.06,0.95,0.96,300,4.80
2014-05-30,1.03,1.03,0.96,0.99,1100,4.95
2014-05-29,0.95,1.03,0.72,1.03,19400,5.15
2014-05-28,1.01,1.02,0.97,1.00,500,5.00
2014-05-27,1.01,1.01,1.01,1.01,400,5.05
2014-05-23,1.00,1.00,1.00,1.00,700,5.00
2014-05-22,0.95,0.98,0.95,0.98,400,4.90
2014-05-21,1.03,1.03,0.98,0.98,700,4.90
2014-05-20,1.01,1.01,0.98,0.98,100,4.90
2014-05-19,1.05,1.05,1.00,1.00,100,5.00
2014-05-16,1.00,1.04,0.95,1.02,5100,5.10
2014-05-15,0.98,1.01,0.98,1.01,1300,5.05
2014-05-14,0.95,1.02,0.95,1.00,800,5.00
2014-05-13,1.00,1.01,0.93,0.95,3300,4.75
2014-05-12,1.12,1.12,0.99,0.99,2800,4.95
2014-05-09,1.37,1.45,0.91,1.12,12900,5.60
2014-05-08,1.22,1.22,1.22,1.22,000,6.10
2014-05-07,1.22,1.22,1.22,1.22,000,6.10
2014-05-06,1.22,1.22,1.19,1.22,300,6.10
2014-05-05,1.27,1.27,1.27,1.27,000,6.35
2014-05-02,1.27,1.27,1.27,1.27,300,6.35
2014-05-01,1.21,1.27,1.10,1.27,1500,6.35
2014-04-30,1.24,1.24,1.24,1.24,000,6.20
2014-04-29,1.25,1.25,1.25,1.25,000,6.25
2014-04-28,1.27,1.27,1.20,1.25,10300,6.25
2014-04-25,1.19,1.49,1.19,1.20,4200,6.00
2014-04-24,1.11,1.16,1.11,1.15,1700,5.75
2014-04-23,1.13,1.13,1.10,1.10,2200,5.50
2014-04-22,1.11,1.11,1.10,1.10,200,5.50
2014-04-21,1.14,1.14,1.01,1.08,4300,5.40
2014-04-17,1.15,1.15,1.15,1.15,000,5.75
2014-04-16,1.11,1.11,1.09,1.09,1000,5.45
2014-04-15,1.14,1.14,1.11,1.13,2100,5.65
2014-04-14,1.03,1.09,1.02,1.09,1000,5.45
2014-04-11,1.05,1.05,1.03,1.03,300,5.15
2014-04-10,1.06,1.06,1.05,1.05,900,5.25
2014-04-09,1.10,1.10,1.10,1.10,000,5.50
2014-04-08,1.09,1.10,1.05,1.10,300,5.50
2014-04-07,1.14,1.16,1.04,1.13,2200,5.65
2014-04-04,1.18,1.18,1.05,1.14,2600,5.70
2014-04-03,1.16,1.20,1.08,1.15,3000,5.75
2014-04-02,1.09,1.17,1.08,1.09,900,5.45
2014-04-01,1.07,1.17,1.07,1.07,400,5.35
2014-03-31,1.15,1.21,1.07,1.14,600,5.70
2014-03-28,1.11,1.25,1.07,1.10,4600,5.50
2014-03-27,1.11,1.11,1.05,1.10,1100,5.50
2014-03-26,1.00,1.05,0.99,1.00,2400,5.00
2014-03-25,0.97,1.01,0.97,1.01,100,5.05
2014-03-24,1.07,1.11,0.96,1.11,4400,5.55
2014-03-21,0.86,1.08,0.86,1.04,11600,5.20
2014-03-20,0.89,1.46,0.87,1.00,40400,5.00
2014-03-19,0.76,0.87,0.76,0.86,3700,4.30
2014-03-18,0.75,0.75,0.75,0.75,000,3.75
2014-03-17,0.75,0.75,0.75,0.75,000,3.75
2014-03-14,0.72,0.75,0.72,0.75,100,3.75
2014-03-13,0.70,0.70,0.70,0.70,500,3.50
2014-03-12,0.68,0.68,0.68,0.68,000,3.40
2014-03-11,0.78,0.78,0.78,0.78,400,3.90
2014-03-10,0.84,0.84,0.79,0.79,300,3.95
2014-03-07,0.79,0.82,0.79,0.82,100,4.10
2014-03-06,0.79,0.79,0.79,0.79,000,3.95
2014-03-05,0.79,0.79,0.79,0.79,000,3.95
2014-03-04,0.80,0.80,0.80,0.80,200,4.00
2014-03-03,0.80,0.80,0.80,0.80,000,4.00
2014-02-28,0.80,0.80,0.80,0.80,200,4.00
2014-02-27,0.72,0.87,0.72,0.85,2200,4.25
2014-02-26,0.85,0.85,0.70,0.70,100,3.50
2014-02-25,0.85,0.85,0.85,0.85,000,4.25
2014-02-24,0.85,0.85,0.85,0.85,000,4.25
